City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,mikhaylovsk,45.1283,42.0256,48.42,93,40,15.66,RU,1651374911
334,ulaangom,49.9811,92.0667,63.41,18,49,5.57,MN,1651374912
335,kruisfontein,-34.0033,24.7314,52.11,78,57,6.67,ZA,1651374913
336,yelnya,54.5786,33.1837,33.6,77,60,5.14,RU,1651374914
337,saint-pierre,-21.3393,55.4781,74.88,74,0,8.05,RE,1651374857
338,malangali,-8.5667,34.85,59.0,95,92,6.91,TZ,1651374915
339,kaitangata,-46.2817,169.8464,58.35,78,100,6.33,NZ,1651374916
340,bonavista,48.6499,-53.1147,36.57,97,100,9.69,CA,1651374916
341,yaan,7.3833,8.5667,77.56,82,100,4.97,NG,1651374917
342,bonfim,3.0833,-59.95,77.77,75,38,2.95,BR,1651374918
343,yacuiba,-22.038,-63.6797,60.19,91,100,2.71,BO,1651374919
344,rio gallegos,-51.6226,-69.2181,41.05,87,0,5.75,AR,1651374919
345,bubaque,11.2833,-15.8333,76.89,69,32,5.61,GW,1651374920
346,volokonovka,50.4827,37.8563,40.62,83,12,6.38,RU,1651374921
347,fairbanks,64.8378,-147.7164,54.99,30,0,11.5,US,1651374902
348,massape,-3.5228,-40.3428,72.73,94,79,1.57,BR,1651374922
349,shenzhen,22.5455,114.0683,71.22,96,100,13.0,CN,1651374923
350,katsuura,35.1333,140.3,62.08,72,100,19.62,JP,1651374923
351,merke,42.8728,73.1786,73.85,42,36,2.42,KZ,1651374924
352,ahuimanu,21.4447,-157.8378,82.11,69,20,17.27,US,1651374925
353,teknaf,20.8624,92.3058,86.25,62,31,4.97,BD,1651374925
354,nipawin,53.3668,-104.0009,43.36,88,8,10.94,CA,1651374709
355,takhtamygda,54.1,123.5667,49.6,21,9,3.44,RU,1651374926
356,nome,64.5011,-165.4064,50.07,51,0,11.5,US,1651374927
357,sarangani,5.4033,125.4636,81.09,79,100,15.5,PH,1651374928
358,port macquarie,-31.4333,152.9167,68.9,67,50,10.83,AU,1651374928
359,panzhihua,26.5851,101.7128,55.63,77,100,8.28,CN,1651374929
360,ilebo,-4.3167,20.5833,70.25,98,67,1.45,CD,1651374930
361,kalur kot,32.1564,71.2594,93.92,17,0,4.79,PK,1651374930
362,petrovsk-zabaykalskiy,51.273,108.843,66.07,31,11,9.57,RU,1651374931
363,sioux lookout,50.1001,-91.917,38.98,90,100,12.35,CA,1651374712
